Mommy's still here	Mommy's still hear
I hear them now	I here them now
Did you hear that?	Did you here that?
I'm trying to work here	I'm trying to work hear
Call me gorgeous then	Call me gorgeous than
Can't catch a break	Can't catch a brake
The break in	The brake in
Break the ice	Brake the ice
The fourth wall cannot save you	The forth wall cannot save you
I'm not sleeping here tonight	I'm not sleeping hear tonight
How to trick a shiny piece of glass	How to trick a shiny peace of glass
Cutting loose non-essential personnel	Cutting lose non-essential personnel
The burmese incident	The burmese accident
This is the fourth night	This is the forth night
We are here	We are hear
That which follows	That witch follows
An ending peace (x-post)	An ending piece (x-post)
Scary things happen here all the time	Scary things happen hear all the time
Not since the accident	Not since the incident
I whip my hair back and forth	I whip my hair back and fourth
Here comes the sun	Hear comes the sun
Here comes the sun	Hear comes the sun
And then there was one	And than there was one
Which do you choose?	Witch do you choose?
I sit here	I sit hear
The future is here	The future is hear
Closer than lovers	Closer then lovers
A fate worse than	A fate worse then
The break up	The brake up
"babe, come here look what's outside"	"babe, come hear look what's outside"
More than one	More then one
Morpheus grew weak	Morpheus grew week
To fear that which we love	To fear that witch we love
So here i lay	So hear i lay
I hear them clawing on their cages	I here them clawing on their cages
She doesn't belong here	She doesn't belong hear
As i lay here	As i lay hear
Of poor men	Of pore men
A break from finals	A brake from finals
Did you hear that?	Did you here that?
To hide in plain sight	To hide in plane sight
I'm sitting here	I'm sitting hear
First post here	First post hear
Back and forth	Back and fourth
More than lead	More then lead
Avoid your addiction!!! first post here with zafrina✝	Avoid your addiction!!! first post hear with zafrina✝
More than just air	More then just air
Mommy isnt here	Mommy isnt hear
Which is worse?	Witch is worse?
Worse than death	Worse then death
A scary incident	A scary accident
I'm sorry, i never should have come here	I'm sorry, i never should have come hear
I love you more than ever	I love you more then ever
She was just here	She was just hear
And then there was william	And than there was william
A moment of peace	A moment of piece
And then it was over	And than it was over
I just need a break	I just need a brake
It can never happen here	It can never happen hear
Worse than death	Worse then death
Poor doctor roberts	Pore doctor roberts
The walls are so thin here	The walls are so thin hear
Nothing goes to waste here	Nothing goes to waste hear
You snooze you lose	You snooze you loose
A little less than cliche	A little less then cliche
Back and forth	Back and fourth
Worse than death	Worse then death
A happy accident	A happy incident
I can hear my mothers voice	I can here my mothers voice
This week it flew above us	This weak it flew above us
